FranchiseID,GlobalRank,TotalRevenue,LastUpdatedDate
1,Top 20,$1B+,3/31/2026
2,Top 15,$13B+,3/31/2026
3,Top 20,$1B+,3/31/2026
4,Top 100,$500M+,3/31/2026
5,Top 50,$500M+,3/31/2026
6,Top 10,$10B+,3/31/2026
7,Top 100,$500M+,3/31/2026
8,Top 50,$1B+,3/31/2026
9,Top 50,$1B+,3/31/2026
10,Top 100,$100M+,3/31/2026
11,Top 50,$1B+,3/31/2026
12,Top 30,$2B+,3/31/2026
13,Top 20,$3B+,3/31/2026
14,Top 30,$5B+,3/31/2026
15,Top 20,$3B+,3/31/2026
16,Top 20,$4B+,3/31/2026
17,Top 25,$3B+,3/31/2026
18,Top 100,$500M+,3/31/2026
19,Top 50,$1B+,3/31/2026
20,Top 100,$200M+,3/31/2026
21,Top 100,$200M+,3/31/2026
22,Top 100,$200M+,3/31/2026
23,Top 100,$250M+,3/31/2026
24,Top 5,$20B+,3/31/2026
25,Top 50,$500M+,3/31/2026
26,Top 50,$500M+,3/31/2026
27,Top 50,$500M+,3/31/2026
28,Top 20,$1B+,3/31/2026
29,Top 50,$1B+,3/31/2026
30,Top 100,$100M+,3/31/2026
31,Top 20,$8B+,3/31/2026
32,Top 15,$9B+,3/31/2026
33,Top 5,$30B+,3/31/2026
34,Top 10,$20B+,3/31/2026
35,Top 20,$5B+,3/31/2026
36,Top 15,$4B+,3/31/2026
37,Top 30,$3B+,3/31/2026
38,Top 25,$2B+,3/31/2026
39,Top 20,$6B+,3/31/2026
40,Top 50,$1B+,3/31/2026
41,Top 100,$100M+,3/31/2026
42,Top 50,$1B+,3/31/2026
43,Top 100,$200M+,3/31/2026
44,Top 50,$500M+,3/31/2026
45,Top 100,$300M+,3/31/2026
46,Top 100,$300M+,3/31/2026
47,Top 100,$150M+,3/31/2026
48,Top 100,$150M+,3/31/2026
49,Top 100,$150M+,3/31/2026
50,Top 100,$200M+,3/31/2026
51,Top 50,$1B+,3/31/2026
52,Top 30,$1B?2B,3/31/2026
53,Top 30,$1B+,3/31/2026
54,Top 30,$1B+,3/31/2026
55,Top 30,$1B+,3/31/2026
56,Top 100,$500M+,3/31/2026
57,Top 100,$500M+,3/31/2026
58,Top 50,$1B+,3/31/2026
59,Top 50,$1B+,3/31/2026
60,Top 100,$500M+,3/31/2026
61,Top 100,$500M+,3/31/2026
62,Top 100,$500M+,3/31/2026
63,Top 50,$1B+,3/31/2026
64,Top 20,$3B+,3/31/2026
65,Top 30,$2B+,3/31/2026
66,Top 30,$2B+,3/31/2026
67,Top 10,$12B+,3/31/2026
68,Top 20,$3B+,3/31/2026
69,Top 50,$1B+,3/31/2026
70,Top 30,$2B+,3/31/2026
71,Top 20,$5B+,3/31/2026
72,Top 20,$5B+,3/31/2026
73,Top 20,$5B+,3/31/2026
74,Top 50,$1B+,3/31/2026
75,Top 100,$200M+,3/31/2026
76,Top 50,$1B+,3/31/2026
77,Top 20,$3B+,3/31/2026
78,Top 50,$1B+,3/31/2026
79,Top 100,$100M+,3/31/2026
80,Top 100,$100M+,3/31/2026
81,Top 100,$100M+,3/31/2026
